name,columnType,maximumSize,enumValues.value,enumValues.source,category
tissue,STRING,250,anterior cingulate cortex,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004249,standard
tissue,STRING,250,frontal pole,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002795,standard
tissue,STRING,250,parahippocampal gyrus,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004380,standard
tissue,STRING,250,superior temporal gyrus,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002769,standard
tissue,STRING,250,inferior frontal gyrus,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002998,standard
tissue,STRING,250,cerebellum,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002037,standard
tissue,STRING,250,occipital visual cortex,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001857,standard
tissue,STRING,250,inferior temporal gyrus,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002751,standard
tissue,STRING,250,middle temporal gyrus,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002771,standard
tissue,STRING,250,posterior cingulate cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0022353,standard
tissue,STRING,250,temporal pole,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002576,standard
tissue,STRING,250,precentral gyrus,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002703,standard
tissue,STRING,250,superior parietal lobe,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0026724,standard
tissue,STRING,250,prefrontal cortex,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0002807,standard
tissue,STRING,250,amygdala,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001042,standard
tissue,STRING,250,caudate nucleus,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001873,standard
tissue,STRING,250,nucleus accumbens,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001882,standard
tissue,STRING,250,putamen,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001874,standard
tissue,STRING,250,temporal cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016538,standard
tissue,STRING,250,orbitofrontal cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0004167,standard
tissue,STRING,250,ventrolateral prefrontal cortex,https://en.wikipedia.org/wiki/Ventrolateral_prefrontal_cortex,standard
tissue,STRING,250,medial frontal cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0022352,standard
tissue,STRING,250,primary motor cortex,,standard
tissue,STRING,250,primary somatosensory cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001384,standard
tissue,STRING,250,posteroinferior parietal cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016530,standard
tissue,STRING,250,primary auditory cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0034751,standard
tissue,STRING,250,posterior superior temporal cortex,,standard
tissue,STRING,250,inferolateral temporal cortex,,standard
tissue,STRING,250,primary visual cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002436,standard
tissue,STRING,250,amygdaloid complex,,standard
tissue,STRING,250,striatum,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002435,standard
tissue,STRING,250,mediodorsal nucleus of thalamus,,standard
tissue,STRING,250,cerebellar cortex,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000043,standard
tissue,STRING,250,serum,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001977,standard
tissue,STRING,250,splenocyte,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_2000074,standard
tissue,STRING,250,blood,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000178,standard
tissue,STRING,250,primary tumor,https://cancergenome.nih.gov/cancersselected/biospeccriteria,standard
tissue,STRING,250,Not Applicable,,standard
tissue,STRING,250,meninges,https://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0024758/,standard
consortium,STRING,250,CommonMind Consortium,https://www.synapse.org/cmc,standard
consortium,STRING,250,PsychENCODE Consortium,https://www.synapse.org/pec,standard
consortium,STRING,250,AMP-AD,https://www.synapse.org/ampad,standard
consortium,STRING,250,MODEL-AD,https://www.synapse.org/ampad,standard
consortium,STRING,250,M2OVE-AD,https://www.synapse.org/ampad,standard
consortium,STRING,250,BSMN,https://www.synapse.org/bsmn,standard
consortium,STRING,250,CSBC,https://csbconsortium.org/,standard
consortium,STRING,250,PSON,https://physics.cancer.gov/,standard
consortium,STRING,250,GENIE,http://www.aacr.org/Research/Research/Pages/aacr-project-genie.aspx#.WOQS9RIrKF0,standard
consortium,STRING,250,Synodos NF1,https://www.synapse.org/ctf,standard
consortium,STRING,250,Synodos NF2,https://www.synapse.org/syndosnf2,standard
consortium,STRING,250,Synodos LGG,http://www.synapse.org/nf1lgg,standard
consortium,STRING,250,DHART SPORE,http://www.synapse.org/dhart,standard
consortium,STRING,250,Not Applicable,,standard
individualID,STRING,250,,,standard
fileFormat,STRING,250,idx,,standard
fileFormat,STRING,250,bam,http://edamontology.org/format_2572,standard
fileFormat,STRING,250,bai,http://edamontology.org/format_3327,standard
fileFormat,STRING,250,excel,,standard
fileFormat,STRING,250,powerpoint,,standard
fileFormat,STRING,250,tif,https://en.wikipedia.org/wiki/TIFF,standard
fileFormat,STRING,250,png,http://edamontology.org/format_3603,standard
fileFormat,STRING,250,doc,,standard
fileFormat,STRING,250,pdf,http://edamontology.org/format_3508,standard
fileFormat,STRING,250,hdf,https://en.wikipedia.org/wiki/Hierarchical_Data_Format,standard
fileFormat,STRING,250,fasta,https://en.wikipedia.org/wiki/FASTA_format,standard
fileFormat,STRING,250,fastq,https://en.wikipedia.org/wiki/FASTQ_format,standard
fileFormat,STRING,250,sam,http://edamontology.org/format_2573,standard
fileFormat,STRING,250,vcf,http://edamontology.org/format_3016,standard
fileFormat,STRING,250,bcf,http://edamontology.org/format_3016,standard
fileFormat,STRING,250,maf,http://edamontology.org/format_3008,standard
fileFormat,STRING,250,bed,http://edamontology.org/format_3003,standard
fileFormat,STRING,250,chp,,standard
fileFormat,STRING,250,cel,http://edamontology.org/format_1638,standard
fileFormat,STRING,250,sif,http://edamontology.org/format_3619,standard
fileFormat,STRING,250,tsv,http://edamontology.org/format_3475,standard
fileFormat,STRING,250,csv,http://edamontology.org/format_3752,standard
fileFormat,STRING,250,txt,http://edamontology.org/format_2330,standard
fileFormat,STRING,250,plink,,standard
fileFormat,STRING,250,idat,http://edamontology.org/format_3578,standard
fileFormat,STRING,250,bigwig,http://edamontology.org/format_3006,standard
fileFormat,STRING,250,wiggle,http://edamontology.org/format_3005,standard
fileFormat,STRING,250,gct,http://edamontology.org/format_3709,standard
fileFormat,STRING,250,bgzip,http://edamontology.org/format_3615,standard
fileFormat,STRING,250,seg,https://software.broadinstitute.org/software/igv/SEG,standard
fileFormat,STRING,250,html,http://edamontology.org/format_2331,standard
fileFormat,STRING,250,md,https://en.wikipedia.org/wiki/Markdown,standard
fileFormat,STRING,250,flagstat,,standard
fileFormat,STRING,250,gtf,https://en.wikipedia.org/wiki/Gene_transfer_format,standard
fileFormat,STRING,250,raw,http://edamontology.org/format_3712,standard
fileFormat,STRING,250,msf,http://edamontology.org/format_3702,standard
platform,STRING,250,HiSeq2500,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL16791,standard
platform,STRING,250,HiSeq2000,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL11154,standard
platform,STRING,250,MiSeq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL15520,standard
platform,STRING,250,PsychChip,,standard
platform,STRING,250,Affy5.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6804,standard
platform,STRING,250,Affy6.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6801,standard
platform,STRING,250,PacBioRSII,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21311,standard
platform,STRING,250,GAIIx,,standard
platform,STRING,250,Illumina_HumanOmni1-Quadv1.0,,standard
platform,STRING,250,Illumina_1M,,standard
platform,STRING,250,Illumina_h650,,standard
platform,STRING,250,Illumina_Omni2pt5M,,standard
platform,STRING,250,Illumina_Omni5M,,standard
platform,STRING,250,Perlegen300Karray,,standard
platform,STRING,250,Agilent44Karray,,standard
platform,STRING,250,IlluminaWholeGenomeDASL,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13369,standard
platform,STRING,250,IlluminaHumanHap300,,standard
platform,STRING,250,NanostringnCounter,,standard
platform,STRING,250,LTQOrbitrapXL,https://www.thermofisher.com/order/catalog/product/IQLAAEGAAPFADBMAOK,standard
platform,STRING,250,IlluminaHumanMethylation450,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13534,standard
platform,STRING,250,AffymetrixU133AB,,standard
platform,STRING,250,AffymetrixU133Plus2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL570,standard
platform,STRING,250,confocalImaging,,standard
platform,STRING,250,IlluminaHumanHT-12_V3_0_R1,,standard
platform,STRING,250,SequenomMultiplex,,standard
platform,STRING,250,HiSeqX,,standard
isCellLine,BOOLEAN,250,TRUE,,standard
isCellLine,BOOLEAN,250,FALSE,,standard
isPrimaryCell,BOOLEAN,250,TRUE,http://purl.obolibrary.org/obo/BTO_0001413,standard
isPrimaryCell,BOOLEAN,250,FALSE,,standard
cellType,STRING,250,B-lymphocytes,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000236,standard
cellType,STRING,250,induced pluripotent stem cells,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0004905,standard
cellType,STRING,250,GABAergic neurons,https://www.ebi.ac.uk/ols/ontologies/zfa/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FZFA_0009276,standard
cellType,STRING,250,monocytes,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000576,standard
cellType,STRING,250,microglia,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000078,standard
cellType,STRING,250,macrophages,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000235,standard
cellType,STRING,250,astrocytes,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000127,standard
cellType,STRING,250,SH-SY5Y,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000793,standard
cellType,STRING,250,GLUtamatergic neurons,https://en.wikipedia.org/wiki/Glutamate_receptor,standard
cellType,STRING,250,NeuN+,https://en.wikipedia.org/wiki/NeuN,standard
cellType,STRING,250,NeuN-,https://en.wikipedia.org/wiki/NeuN,standard
cellType,STRING,250,epithelial,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000066,standard
cellType,STRING,250,epithelial-like,https://www.thermofisher.com/us/en/home/references/gibco-cell-culture-basics/cell-morphology.html,standard
cellType,STRING,250,fibroblast,https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000057,standard
cellType,STRING,250,round,https://www.ebi.ac.uk/ols/ontologies/cmpo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fcmpo%2FCMPO_0000118,standard
cellType,STRING,250,lymphoblast,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000772,standard
cellType,STRING,250,polygonal,https://www.ebi.ac.uk/ols/ontologies/sio/terms?iri=http%3A%2F%2Fsemanticscience.org%2Fresource%2FSIO_000503,standard
cellType,STRING,250,CD8+ T-Cells,https://en.wikipedia.org/wiki/Cytotoxic_T_cell,standard
cellType,STRING,250,arachnoid,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001636,standard
cellType,STRING,250,meningioma,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_3565,standard
cellType,STRING,250,schwannoma,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693,standard
cellType,STRING,250,schwann,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001220,standard
diagnosis,STRING,250,Neurofibromatosis 1,,standard
diagnosis,STRING,250,Neurofibromatosis 2,https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F101000,standard
diagnosis,STRING,250,Bipolar Disorder,https://www.ebi.ac.uk/ols/ontologies/nbo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNBO_0000258,standard
diagnosis,STRING,250,Alzheimer Disease,https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F104300,standard
diagnosis,STRING,250,Schizophrenia,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000692,standard
diagnosis,STRING,250,Autism Spectrum Disorder,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0003756,standard
diagnosis,STRING,250,Fibrocystic Breast Disease,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0003014,standard
diagnosis,STRING,250,Breast Cancer,https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F114480,standard
diagnosis,STRING,250,Colon Cancer,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_219,standard
diagnosis,STRING,250,Lung Cancer,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_1324,standard
diagnosis,STRING,250,Prostate Cancer,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_10283,standard
diagnosis,STRING,250,Pancreas Cancer,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_1793,standard
diagnosis,STRING,250,Skin Cancer,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_4159,standard
diagnosis,STRING,250,Brain Cancer,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_1319,standard
diagnosis,STRING,250,Ovary Cancer,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_2152,standard
diagnosis,STRING,250,Control,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0001461,standard
diagnosis,STRING,250,Affective Disorder,Sage,standard
diagnosis,STRING,250,Not Applicable,,standard
tumorType,STRING,250,Neurofibroma Cutaneous,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000622,standard
tumorType,STRING,250,Neurofibroma Subcutaneous,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000622,standard
tumorType,STRING,250,Neurofibroma Plexiform,https://nfcenter.wustl.edu/what-is-nf/neurofibromatosis-type-1/nerve-tumors/,standard
tumorType,STRING,250,Neurofibroma Atypical,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000622,standard
tumorType,STRING,250,Malignant Peripheral Nerve Sheath Tumor,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000622,standard
tumorType,STRING,250,Adenocarcinoma,https://www.ebi.ac.uk/ols/ontologies/mp/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C2852,standard
tumorType,STRING,250,Carcinoma,https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_305,standard
tumorType,STRING,250,Ductal Carcinoma,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004851,standard
tumorType,STRING,250,Melanoma,https://www.ebi.ac.uk/ols/ontologies/mp/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C3224,standard
tumorType,STRING,250,Optic Nerve Glioma,https://www.ebi.ac.uk/ols/ontologies/ordo/terms?iri=http%3A%2F%2Fwww.orpha.net%2FORDO%2FOrphanet_2086,standard
tumorType,STRING,250,Low Grade Glioma,https://www.urmc.rochester.edu/neurosurgery/specialties/neurooncology/conditions/low-grade-glioma.aspx,standard
tumorType,STRING,250,Diffuse Astrocytoma,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000272,standard
tumorType,STRING,250,Anaplastic Astrocytoma,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0002499,standard
tumorType,STRING,250,Glioblastoma,https://www.ebi.ac.uk/ols/ontologies/mpath/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMPATH_564,standard
tumorType,STRING,250,Schwannoma,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693,standard
tumorType,STRING,250,Meningioma,https://www.ebi.ac.uk/ols/ontologies/mp/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C3230,standard
tumorType,STRING,250,Not Applicable,,standard
specimenIdSource,STRING,250,,,standard
sex,STRING,250,male,,standard
sex,STRING,250,female,,standard
species,STRING,250,Human,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock,standard
species,STRING,250,Mouse,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090&lvl=3&lin=f&keep=1&srchmode=1&unlock,standard
species,STRING,250,Rat,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10114&lvl=3&lin=f&keep=1&srchmode=1&unlock,standard
species,STRING,250,Drosophila melanogaster,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi,standard
assemblyMethod,STRING,250,velvet,NA,analysis
regressionMethod,STRING,250,fixedEffect,NA,analysis
regressionMethod,STRING,250,randomEffect,NA,analysis
regressionMethod,STRING,250,mixedEffect,NA,analysis
batchEffectCorrectionMethod,STRING,250,COMBAT,NA,analysis
batchEffectCorrectionMethod,STRING,250,SVA,NA,analysis
